lam,r,g,b,a,c,l
360,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
361,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
362,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
363,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
364,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
365,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
366,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
367,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
368,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
369,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
370,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
371,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
372,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
373,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
374,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
375,0.000E+00,0.000E+00,3.104E-05,0.000E+00,0.000E+00,0.000E+00
376,0.000E+00,0.000E+00,1.789E-04,0.000E+00,0.000E+00,0.000E+00
377,0.000E+00,0.000E+00,4.333E-04,0.000E+00,0.000E+00,0.000E+00
378,0.000E+00,0.000E+00,7.069E-04,0.000E+00,0.000E+00,0.000E+00
379,0.000E+00,0.000E+00,9.757E-04,0.000E+00,0.000E+00,0.000E+00
380,0.000E+00,0.000E+00,1.179E-03,0.000E+00,0.000E+00,0.000E+00
381,0.000E+00,0.000E+00,1.292E-03,0.000E+00,0.000E+00,2.828E-06
382,0.000E+00,0.000E+00,1.374E-03,0.000E+00,0.000E+00,1.560E-05
383,0.000E+00,0.000E+00,1.433E-03,0.000E+00,0.000E+00,1.612E-05
384,0.000E+00,0.000E+00,1.489E-03,0.000E+00,0.000E+00,2.473E-05
385,0.000E+00,0.000E+00,1.552E-03,0.000E+00,0.000E+00,5.191E-05
386,0.000E+00,0.000E+00,1.603E-03,0.000E+00,0.000E+00,7.340E-05
387,0.000E+00,2.450E-05,1.640E-03,0.000E+00,0.000E+00,8.478E-05
388,0.000E+00,3.350E-05,1.655E-03,0.000E+00,0.000E+00,6.980E-05
389,0.000E+00,1.537E-05,1.642E-03,0.000E+00,0.000E+00,1.895E-05
390,0.000E+00,0.000E+00,1.619E-03,0.000E+00,0.000E+00,0.000E+00
391,0.000E+00,0.000E+00,1.589E-03,0.000E+00,0.000E+00,0.000E+00
392,0.000E+00,0.000E+00,1.556E-03,0.000E+00,0.000E+00,0.000E+00
